,App_Id,App_name,Developer_Id,Genre,Size,App_version,IOS_version,Released_date,Updated_date,Avg_user_rating,Age_group
0,Hawra-Alkhamis.duaaee,Duaae,1566576358,Book,531.21,1.3,12.2,2021-05-13,2021-05-13,5,Children
1,com.ggp.qrbupelasmate,QRActive BUPELAS MATE SMP,1214803381,Book,25.52,1.0.1,8.0,2018-04-03,2018-04-05,1,Children
2,com.religionlibraries.bibleallinone,Holy Bible - All in one,902215267,Book,38.53,1.0,10.0,2021-10-10,2021-10-10,0,Children
3,org.phanthavong.englishlaodictionary,Lao English Dictionary,570545479,Book,52.58,1.0,6.0,2014-03-03,2014-03-03,4,Children
4,com.flion.kidstorybook1,Audiobooks:children's favorite fairy tales 1,667771061,Book,79.93,10.0,7.0,2011-12-08,2017-02-07,5,Children
5,com.hangtt.nkjv,New King James Bible version,1453314665,Book,62.41,1.0,10.3,2019-09-10,2019-09-10,4.74231,Children
6,com.booksloth.ios,BookSloth,1399024479,Book,25.76,2.46,13.0,2018-08-21,2021-09-04,4.25519,Children
7,fr.islamobile.coran.audio.bn,"Quran Audio mp3: Bangla,Arabic",356342220,Book,696.52,3.0.0,11.0,2015-12-09,2020-06-30,0,Children
8,com.smialko.Booky,Booky - organize books notes,1489041673,Book,26.42,1.1,13.2,2019-12-19,2020-01-02,4,Children
9,org.myftp.share35.BibleBulgarian,Bulgarian Audio Bible Библия,528268034,Book,376.83,1.0.1,12.0,2016-03-05,2019-10-22,0,Children
